id,sbem_building_type_id,sbem_activity_id,activity_name,activity_type,activity_class,activity_description,br_light_check,light_lux,display_lighting,br_check_one,hepa_filter,hepa_enabled,valley_gutter,occupancy,hot_water_demand,fresh_air_rate,occ_24,occ_01,occ_02,occ_03,occ_04,occ_05,occ_06,occ_07,occ_08,occ_09,occ_10,occ_11,occ_12,occ_13,occ_14,occ_15,occ_16,occ_17,occ_18,occ_19,occ_20,occ_21,occ_22,occ_23,heat_set_point,work_plane,old_name,old_id,cool_set_point,metabolic_rate,equipment_gains
946,41,1189,Dry sports hall,D2_DrySptHall,Warehouse,An area where indoor sports can be played.,FALSE,300,FALSE,FALSE,FALSE,TRUE,TRUE,0.05,0,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,20,,,,24,130,25
947,41,1190,Eating/drinking area,D2_EatDrink,Indoor,An area specifically designed for eating and drinking.,FALSE,150,FALSE,FALSE,FALSE,TRUE,TRUE,0.22,8,10,0,0,0,0,0,0,0,0,0,0,0,0.25,1,1,0.75,0,0,0,0,0,0,0,0,0,20,,,,24,130,25
948,41,1192,Fitness suite/gym,D2_FitGym,Indoor,An area used for excercise containing machines.,FALSE,150,FALSE,FALSE,FALSE,TRUE,TRUE,0.17,0,30,0,0,0,0,0,0,0.25,1,1,0.25,0,0.25,1,1,0.5,0,0,0.5,1,1,0.5,0,0,0,20,,,,24,130,25
942,41,1195,Auditoria,D2_Auditoria,Indoor,Theatre audtoria spaces.,FALSE,300,FALSE,FALSE,FALSE,TRUE,FALSE,0.34,0.2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,1,1,1,0.66667,0,20,,,,24,130,25
951,41,1196,Ice rink,D2_IceRink,Outdoor,An area which contains an ice rink.,FALSE,200,FALSE,FALSE,FALSE,TRUE,TRUE,0.23,0.12,10,0,0,0,0,0,0,0,0,0,0.75,1,1,0.75,0.75,1,1,1,0.75,0,0,0,0,0,0,20,,,,24,130,25
958,41,1198,Performance area (stage),D2_Stage,Indoor,"For stages with dedicated lighting and equipment in addition to that within the remainder of the space. For stages within other activity areas which do not have specific lighting or additional electrical equipment, do not define these as separate spaces.",FALSE,750,FALSE,FALSE,FALSE,TRUE,TRUE,0.05,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,1,1,1,0.66667,0,20,,,,24,130,25
955,41,1199,Light plant room,D2_Plant,Indoor,Areas containing the main HVAC equipment for the building eg: boilers/air conditioning plant.,FALSE,200,FALSE,TRUE,FALSE,TRUE,TRUE,0.11,0,10,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,20,,,,24,130,25
945,41,1200,Public circulation areas,D2_CirculationPub,Indoor,"All public circulation areas such as a foyer. For non public spaces use ""Circulation areas (corridors and stairways) - non public""",FALSE,200,FALSE,FALSE,FALSE,TRUE,FALSE,0.24,0.31,10,0,0,0,0,0,0,0.25,0.5,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,0.66667,0,20,,,,24,130,25
956,41,1201,Reception,D2_Reception,Indoor,The area in a building which is used for entry from the outside or other building storeys.,FALSE,200,TRUE,FALSE,FALSE,TRUE,TRUE,0.13,0.04,10,0,0,0,0,0,0,0,0,0,0.75,1,1,0.75,0.75,1,1,1,0.75,0,0,0,0,0,0,20,,,,24,130,25
957,41,1202,Sales area - general,D2_Sales,Indoor,All Sales areas which do not have a large concentration of fridges/freezers or electrical appliances.,FALSE,600,TRUE,FALSE,FALSE,TRUE,TRUE,0.1,0.04,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
959,41,1203,Store Room,D2_Store,Indoor,Areas for un-chilled goods storage with low transient occupancy.,FALSE,50,FALSE,TRUE,FALSE,TRUE,TRUE,0.11,0,10,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,20,,,,24,130,25
961,41,1205,Toilet,D2_Toilet,Toilets,Any toilet areas. If toilets are subsidiary to changing/shower activities use Changing facilities with showers,FALSE,200,FALSE,FALSE,FALSE,TRUE,TRUE,0.1,0,12,0,0,0,0,0,0,0.25,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,20,,,,24,130,25
962,41,1206,Workshop - small scale,D2_WkshpSS,Indoor,An area for sedentary-light practical work. Often containing some machinery.,FALSE,500,FALSE,TRUE,FALSE,TRUE,TRUE,0.07,0.28,10,0,0,0,0,0,0,0,0,0,0.75,1,1,0.75,0.75,1,1,1,0.75,0,0,0,0,0,0,20,,,,24,130,25
954,41,1207,Generic Office Area,D2_Office,Indoor,"Areas to perform office  work including offices and meeting rooms. It can include internal corridors providing access to the office spaces, tea making facilities or kitchennetes within the office space, areas for photocopiers and fax machines and staff lo",FALSE,400,FALSE,TRUE,FALSE,TRUE,FALSE,0.12,0.2,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
926,42,1208,Changing facilities with showers,D1_Edu_Changing,Toilets,"An area used for changing, containing showers. This activity should be assigned to the shower area and all associated changing areas.",FALSE,100,FALSE,FALSE,FALSE,TRUE,FALSE,0.14,69.72,10,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
927,42,1209,Circulation area (corridors and stairways),D1_Edu_Circulation,Indoor,For all circulation areas such as corridors and stairways.,FALSE,100,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0,10,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
928,42,1210,Dry sports hall,D1_Edu_DrySptHall,Warehouse,An area where indoor sports can be played.,FALSE,300,FALSE,FALSE,FALSE,TRUE,FALSE,0.05,0,10,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
929,42,1211,Eating/drinking area,D1_Edu_EatDrink,Indoor,Seated areas where food or drink are consumed.,FALSE,150,FALSE,FALSE,FALSE,TRUE,FALSE,0.2,4.5,10,0,0,0,0,0,0,0,0,0,0,0,0.25,1,1,0.75,0,0,0,0,0,0,0,0,0,20,,,,24,130,25
930,42,1212,Food preparation area,D1_Edu_FoodPrep,Indoor,"An area where food is prepared , e.g. canteen kitchen",FALSE,500,FALSE,FALSE,FALSE,TRUE,FALSE,0.18,0.28,25,0,0,0,0,0,0,0,0,0,0,0.25,0.25,1,1,0.75,0.25,0,0,0,0,0,0,0,0,20,,,,24,130,25
933,42,1213,Hall/lecture theatre/assembly area,D1_Edu_Lecture,Indoor,An area which can accommodate a large number of seated people.,FALSE,300,FALSE,TRUE,FALSE,TRUE,FALSE,0.22,0.11,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
931,42,1214,Computer lab,D1_Edu_HighDensIT,Indoor,High density desk based work space with correspondinly dense IT.,FALSE,300,FALSE,TRUE,FALSE,TRUE,FALSE,0.22,0.44,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
932,42,1215,Laboratory,D1_Edu_Lab,Indoor,"A facility that provides controlled conditions in which scientific research, experiments, and measurement may be performed.",FALSE,800,FALSE,TRUE,FALSE,TRUE,FALSE,0.21,0,12,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
935,42,1216,Light plant room,D1_Edu_Plant,Indoor,Areas containing the main HVAC equipment for the building eg: boilers/air conditioning plant.,FALSE,200,FALSE,TRUE,FALSE,TRUE,FALSE,0.11,0,10,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,20,,,,24,130,25
936,42,1217,Reception,D1_Edu_Reception,Indoor,The area in a building which is used for entry from the outside or other building storeys.,FALSE,200,TRUE,FALSE,FALSE,TRUE,FALSE,0.12,0.09,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,20,,,,24,130,25
938,42,1219,Swimming pool,D1_Edu_Swim,Indoor,The area in which a swimming pool is contained. This activity should be used for the whole pool hall.,FALSE,300,FALSE,FALSE,FALSE,TRUE,FALSE,0.15,0,15,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,20,,,,24,130,25
940,42,1220,Toilet,D1_Edu_Toilet,Toilets,Any toilet areas. If toilets are subsidiary to changing/shower activities use Changing facilities with showers.,FALSE,200,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0,12,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
939,42,1222,Teaching Areas,D1_Edu_Teaching,Indoor,Teaching areas which include classrooms and corridors providing access to and between classrooms.,FALSE,280,FALSE,TRUE,FALSE,TRUE,FALSE,0.55,0.89,5.5,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
885,44,1252,Store Room,C2_Schools_Store,Indoor,Areas for un-chilled goods storage with low transient occupancy.,FALSE,50,FALSE,TRUE,FALSE,TRUE,FALSE,0.12,0,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,20,,,,24,130,25
934,42,1223,Office and consulting areas,D1_Edu_Office,Indoor,"Areas to perform management, office and administration work separated from standard customer/public areas. It can include internal corridors providing access to the office spaces, tea making facilities or kitchennetes within the office space and staff lou",FALSE,400,FALSE,TRUE,FALSE,TRUE,FALSE,0.1,0.2,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
1052,43,1224,Cell (police/prison),Prison_Cell,Indoor,A room which accommodates one or more residents/inmates.,FALSE,100,FALSE,FALSE,FALSE,TRUE,TRUE,0.19,6.96,10,1,1,1,1,1,1,1,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,20,,,,24,130,25
1054,43,1226,Circulation area (corridors and stairways),Prison_Circulation,Indoor,For all circulation areas such as corridors and stairways.,FALSE,100,FALSE,FALSE,FALSE,TRUE,TRUE,0.11,0,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0,0,0,0,20,,,,24,130,25
1066,43,1227,Toilet,Prison_Toilet,Toilets,Any toilet areas. If toilets are subsidiary to changing/shower activities use Changing facilities with showers.,FALSE,200,FALSE,FALSE,FALSE,TRUE,TRUE,0.11,0,12,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,20,,,,24,130,25
1064,43,1228,Reception,Prison_Reception,Indoor,The area in a building which is used for entry from the outside or other building storeys. It also includes waiting areas.,FALSE,200,TRUE,FALSE,FALSE,TRUE,TRUE,0.12,0.12,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,20,,,,24,130,25
1056,43,1229,Dry sports hall,Prison_DrySptHall,Warehouse,An area where indoor sports can be played.,FALSE,300,FALSE,FALSE,FALSE,TRUE,TRUE,0.05,0,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,20,,,,24,130,25
1061,43,1231,Hall/lecture theatre/assembly area,Prison_Lecture,Indoor,An area which can accommodate a large number of seated people.,FALSE,300,FALSE,TRUE,FALSE,TRUE,TRUE,0.18,0.3,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
1057,43,1232,Eating/drinking area,Prison_EatDrink,Indoor,"Seated areas where food or drink are consumed, e.g. canteen.",FALSE,150,FALSE,FALSE,FALSE,TRUE,TRUE,0.14,8,10,0,0,0,0,0,0,0.25,1,1,0.25,0,0.25,1,1,0.5,0,0,0.5,1,1,0.5,0,0,0,20,,,,24,130,25
1051,43,1233,Bathroom,Prison_Bath,Indoor,Bathroom,FALSE,150,FALSE,FALSE,FALSE,TRUE,TRUE,0.21,0,12,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,20,,,,24,130,25
1063,43,1234,Light plant room,Prison_Plant,Indoor,Areas containing the main HVAC equipment for the building eg: boilers/air conditioning plant.,FALSE,200,FALSE,TRUE,FALSE,TRUE,TRUE,0.11,0,10,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,20,,,,24,130,25
1067,43,1235,Workshop - small scale,Prison_WkshpSS,Indoor,An area for sedentary-light practical work. Often containing some machinery.,FALSE,500,FALSE,TRUE,FALSE,TRUE,TRUE,0.05,0.42,10,0,0,0,0,0,0,0,0,0,0.75,1,1,0.75,0.75,1,1,1,0.75,0,0,0,0,0,0,20,,,,24,130,25
1060,43,1237,Laundry,Prison_Laund,Indoor,An area used only for washing and/or drying clothes using washing machines and/or tumble dryers.,FALSE,300,FALSE,FALSE,FALSE,TRUE,TRUE,0.09,0,12,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
1058,43,1238,Fitness suite/gym,Prison_FitGym,Indoor,An area used for excercise containing machines.,FALSE,150,FALSE,FALSE,FALSE,TRUE,TRUE,0.17,0,30,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,20,,,,24,130,25
1055,43,1239,Classroom,Prison_ClassRm,Indoor,"All teaching areas other than for practical classes with machinery, for which use ""Workshop - small scale"".",FALSE,300,FALSE,TRUE,FALSE,TRUE,TRUE,0.18,0.3,5,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
1062,43,1240,Office and consulting areas,Prison_Office,Indoor,"Areas to perform management, office and administration work separated from standard customer/public areas. It can include internal corridors providing access to the office spaces, tea making facilities or kitchennetes within the office space and staff lou",FALSE,400,FALSE,TRUE,FALSE,TRUE,FALSE,0.09,0.82,10,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
1059,43,1241,Food preparation area,Prison_FoodPrep,Indoor,"Areas where food or drinks are prepared, e.g. kitchen in canteen.",FALSE,500,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0.2,25,0,0,0,0,0,0,0.25,1,1,0.25,0,0.25,1,1,0.5,0,0,0.5,1,1,0.5,0,0,0,20,,,,24,130,25
872,44,1242,Changing facilities with showers,C2_Schools_Changing,Toilets,"An area used for changing, containing showers. This activity should be assigned to the shower area and all associated changing areas.",FALSE,100,FALSE,FALSE,FALSE,TRUE,FALSE,0.14,69.72,10,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
873,44,1243,Circulation area (corridors and stairways),C2_Schools_Circulation,Indoor,"For all circulation areas such as corridors and stairways in the residential areas. For non residential areas, select the Circulation activity from building D1 Non-residential Institutions - Education",FALSE,100,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0,10,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
875,44,1244,Dry sports hall,C2_Schools_DrySptHall,Warehouse,An area where indoor sports can be played.,FALSE,300,FALSE,FALSE,FALSE,TRUE,FALSE,0.05,0,10,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
876,44,1245,Eating/drinking area,C2_Schools_EatDrink,Indoor,Seated areas where food or drink are consumed by residents and staff.,FALSE,150,FALSE,FALSE,FALSE,TRUE,FALSE,0.16,8.94,10,0,0,0,0,0,0,0.25,1,1,0.25,0,0.25,1,1,0.5,0,0,0.5,1,1,0.5,0,0,0,20,,,,24,130,25
881,44,1247,Hall/lecture theatre/assembly area,C2_Schools_Lecture,Indoor,An area which can accommodate a large number of seated people.,FALSE,300,FALSE,TRUE,FALSE,TRUE,FALSE,0.22,0.11,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
878,44,1248,Computer lab,C2_Schools_HighDensIT,Indoor,High density desk based work space with corresponding dense IT.,FALSE,300,FALSE,TRUE,FALSE,TRUE,FALSE,0.22,0.44,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
879,44,1249,Laboratory,C2_Schools_Lab,Indoor,"A facility that provides controlled conditions in which scientific research, experiments, and measurement may be performed.",FALSE,800,FALSE,TRUE,FALSE,TRUE,FALSE,0.21,0,12,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
883,44,1250,Light plant room,C2_Schools_Plant,Indoor,Areas containing the main HVAC equipment for the building eg: boilers/air conditioning plant.,FALSE,200,FALSE,TRUE,FALSE,TRUE,FALSE,0.11,0,10,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,20,,,,24,130,25
884,44,1251,Reception,C2_Schools_Reception,Indoor,The area in a building which is used for entry from the outside or other building storeys.,FALSE,200,TRUE,FALSE,FALSE,TRUE,FALSE,0.12,0.09,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,20,,,,24,130,25
886,44,1253,Swimming pool,C2_Schools_Swim,Indoor,The area in which a swimming pool is contained. This activity should be used for the whole pool hall.,FALSE,300,FALSE,FALSE,FALSE,TRUE,FALSE,0.15,0,15,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,20,,,,24,130,25
888,44,1254,Toilet,C2_Schools_Toilet,Toilets,"Any toilet areas. If toilets are subsidiary to changing/shower activities refer to Changing facilities with showers. For non residential areas, select the Circulation activity from building D1 Non-residential Institutions - Education",FALSE,200,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0,12,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
887,44,1256,Teaching Areas,C2_Schools_Teaching,Indoor,Teaching areas which include classrooms and corridors providing access to and between classrooms.,FALSE,280,FALSE,TRUE,FALSE,TRUE,FALSE,0.55,0.89,5.5,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
882,44,1257,Office and consulting areas,C2_Schools_Office,Indoor,"Areas to perform office work including offices and meeting rooms. It can include internal corridors providing access to the office spaces, tea making facilities or kitchennetes within the office space, areas for photocopiers and fax machines and staff lou",FALSE,400,FALSE,TRUE,FALSE,TRUE,FALSE,0.1,0.2,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
871,44,1258,Bedroom,C2_Schools_Bedroom,Indoor,Bedrooms.,FALSE,125,FALSE,FALSE,FALSE,TRUE,FALSE,0.1,6.5,10,1,1,1,1,1,1,1,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,1,20,,,,24,130,25
870,44,1259,Bathroom,C2_Schools_Bath,Indoor,Bathrooms for residents.,FALSE,125,FALSE,FALSE,FALSE,TRUE,FALSE,0.23,0,12,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,20,,,,24,130,25
874,44,1260,Residents common rooms,C2_Schools_CommunalArea,Indoor,TV lounges and other common spaces for use of residents. It may contain some hot drink facilities.,FALSE,150,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,1.61,10,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.5,1,1,0.5,0.25,0.25,0.25,0.5,1,1,1,0.5,0,20,,,,24,130,25
880,44,1261,Laundry,C2_Schools_Laund,Indoor,An area used specifically for washing and/or drying clothes using washing machines and/or tumble dryers.,FALSE,300,FALSE,FALSE,FALSE,TRUE,FALSE,0.12,0,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,20,,,,24,130,25
890,45,1262,Bathroom,C2_Uni_Bath,Toilets,Bathrooms for residents.,FALSE,150,FALSE,FALSE,FALSE,TRUE,FALSE,0.23,0,12,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,20,,,,24,130,25
891,45,1263,Bedroom,C2_Uni_Bed,Indoor,Bedrooms.,FALSE,80,FALSE,FALSE,FALSE,TRUE,FALSE,0.12,9.37,10,1,1,1,1,1,1,1,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,1,20,,,,24,130,25
892,45,1264,Changing facilities with showers,C2_Uni_Changing,Toilets,"An area used for changing, containing showers. This activity should be assigned to the shower area and all associated changing areas.",FALSE,100,FALSE,FALSE,FALSE,TRUE,FALSE,0.13,120,10,0,0,0,0,0,0,0,0,0,0.75,1,1,0.75,0.75,1,1,1,0.75,0,0,0,0,0,0,20,,,,24,130,25
893,45,1265,Circulation area (corridors and stairways),C2_Uni_Circulation,Indoor,For all circulation areas such as corridors and stairways.,FALSE,100,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0,10,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,20,,,,24,130,25
1086,45,1266,Classroom,Uni_ClassRm,Indoor,"All teaching areas other than for science or practical classes, for which refer to ""Laboratory"" or ""Workshop - small scale"".",FALSE,300,FALSE,TRUE,FALSE,TRUE,FALSE,0.2,0.14,5,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
894,45,1267,Residents common rooms,C2_Uni_CommunalArea,Indoor,TV lounges and other common spaces for use of residents. It may contain some hot drink facilities.,FALSE,150,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0,10,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.5,1,1,0.5,0.25,0.25,0.25,0.5,1,1,1,0.5,0,20,,,,24,130,25
895,45,1268,Dry sports hall,C2_Uni_DrySptHall,Warehouse,An area where indoor sports can be played.,FALSE,300,FALSE,FALSE,FALSE,TRUE,FALSE,0.05,0,10,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
896,45,1269,Eating/drinking area,C2_Uni_EatDrink,Indoor,"Seated areas where food or drink are consumed, e.g. canteen.",FALSE,150,FALSE,FALSE,FALSE,TRUE,FALSE,0.21,6.19,10,0,0,0,0,0,0,0.25,1,1,0.25,0,0.25,1,1,0.5,0,0,0.5,1,1,0.5,0,0,0,20,,,,24,130,25
897,45,1270,Fitness suite/gym,C2_Uni_FitGym,Indoor,An area used for excercise containing machines.,FALSE,150,FALSE,FALSE,FALSE,TRUE,FALSE,0.18,0,30,0,0,0,0,0,0,0,0,0,0.75,1,1,0.75,0.75,1,1,1,0.75,0.75,0.75,0.75,0.5,0.5,0,20,,,,24,130,25
898,45,1271,Food preparation area,C2_Uni_FoodPrep,Indoor,"An area where food is prepared, e.g. canteen kitchen.",FALSE,500,FALSE,FALSE,FALSE,TRUE,FALSE,0.1,0.3,25,0,0,0,0,0,0,0,0,0,0.75,1,1,0.75,0.75,1,1,1,0.75,0,0,0,0,0,0,20,,,,24,130,25
899,45,1273,Computer lab,C2_Uni_HighDensIT,Indoor,High density desk based work space with correspondinly dense IT.,FALSE,300,FALSE,TRUE,FALSE,TRUE,FALSE,0.23,0.84,10,0,0,0,0,0,0,0,0,0,0.75,1,1,0.75,0.75,1,1,1,0.75,0.75,0.75,0.75,0.5,0.5,0,20,,,,24,130,25
900,45,1275,Laboratory,C2_Uni_Lab,Indoor,"A facility that provides controlled conditions in which scientific research, experiments, and measurement may be performed.",FALSE,800,FALSE,TRUE,FALSE,TRUE,FALSE,0.11,0.04,12,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
901,45,1276,Laundry,C2_Uni_Laund,Indoor,An area used only for washing and/or drying clothes using washing machines and/or tumble dryers. This is not for where there is an individual washing machines within another space (eg a food preparation area).,FALSE,300,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0,12,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0.75,1,0.75,0,0,0,0,0,0,0,0,20,,,,24,130,25
904,45,1277,Light plant room,C2_Uni_Plant,Indoor,Areas containing the main HVAC equipment for the building eg: boilers/air conditioning plant.,FALSE,200,FALSE,TRUE,FALSE,TRUE,FALSE,0.11,0,10,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,20,,,,24,130,25
905,45,1278,Reception,C2_Uni_Reception,Indoor,The area in a building which is used for entry from the outside or other building storeys.,FALSE,200,TRUE,FALSE,FALSE,TRUE,FALSE,0.11,0,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,20,,,,24,130,25
